tweet	label
Neon a cikin jirgin ruwa tare da yara, a Zo, ka duba yadda kayan aikin shike yayin da ake yi don a dawo da fim.	Neutral
I.M.S.D.A.	Negative
Harafin za ta zama kamar ce, Ka ɓace. ' - LPPP	Neutral
Sau da yawa abin na bacci din na zamani yana nan na musamman...	Negative
An dawo da ni zuwa 9 don na yi waya da waya a waje. Na tsaya a matsayin waya kuma na jemage sa'ad da aka gasa.	Negative
Rufin jini mai girma yana ta'aziyya ga babban kaya	Positive
Ina farin ciki da agogon rana yana ba ku akwati mai sanyi don wasa	Positive
An buɗe microwave don wasa, don a kashe kansa a cikin raiki na huɗu.	Neutral
Kwandon kwamfuta ya sauka don wasu abubuwa masu ban dariya. .	Neutral
A ƙarshe an saita hannayenmu a kan saualbanroge a bayan gida, wannan shi ne ya jawo yabo daga kusa da teku, don ya sa aka yi wa mutane jaket, don haka ya yi kama da na'urar da bakan gizo mai ruwan hoda a kan katako.	Positive
Don haka Panda aka shimfidar da ruwa iri -iri don wannan.	Positive
zai zama yatsa	Positive
Qwai da aka ƙera a ƙasa. Na biyu, ba ya so a dawo da lokacin yin aiki.	Negative
KA TSAYA IDON DAKE YARINYA	Positive
tsallaka \ Jiragen \ \ Jiragene \ Jiragen hadra \ \ \ Jiragen jere \ \ Jiragen jere \ Jiragen jirage \ jere \ jere redredred hadad \ redred red red \ \ \ \ \ jere \ Jiragen duba red \ Jred \ \ \ \ \ cikin \ red \ \ \ \ cikin red \ tsallakal red \ tsallakal light \ \ \ \ \ \ \ \ \ \ Jred \ Jred \ \ \ \ \ jere \ \ \ \ \ \ \ \ \ \ \ Jred \ \ \ \ \ \ \ \ \ \  \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ buɗe \ \ \ \ buɗe \ buɗe \ buɗe \ \ yashin \ \ \ ƙanananra \ \ \ \ \ \ cikin \ cikin \ cikin \ cikin \ cikin \ cikin \ cikin \ cikin \ \ \rarararararararashin \ cikin \ cikin \ \ \ \ \ \ \ \ \ \ \ \ \ \ra \ \ \ \ \ \ \ \ cikin \ \ \ \ \ \ \ \ \ \ cikin \ \ \ \ \ \ \ \ \ \ \ \ \ \ cikin \ cikin \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \rararararara \ \ra \rara \ \ \ \ \ \ \ \ \ \ \ \ra \ra \shin	Negative
jan wuta 2	Neutral
Na san ku ba da wannan wajen ba da kyautar a matsayin log na birni, tokan caken roman donuts.	Positive
Neon da aka tsaya a cikin abin da aka rubuta a cikin samo daga cikin motsa jiki bayan bayan an yi amfani da shi a kan zubar da ruwa mai launin ruwan kasa.	Neutral
i-shirt yana zaune a saman ya ko ta isading da aka rufe da kuri'a. Kariya.	Neutral
