tweet	label
@user Ya taimaki kan sa😠	positive
@user 😂😂Wato dgsk zasuyi kenan! Yayi👍🏻	neutral
@user @user Maintaining naki sai dan'gote..... Iron kwalliya haka😂😂😂	positive
mudai yan nigeria mushiga matsala tamakaranta wai dan allah a makaranta ne kawai za a kamu da korona amma koda ike ba asomiyi karatune amma ta allah batasuba	negative
@user Wai kan fanfon cen dame aka yishine??😲😲	neutral
@user ..ra'ayi riga ..wa ke bi a yanzu just heard #Ranarhausa an ambata😊	neutral
@user Subhanallah! Wai iyayen nashine basuda imani😳 kaji hege.	negative
@user ALLAH Shi Rahamsheta! 🤲	positive
@user Allah yakiyaye asarar rai da dukiya🙏	positive
allahu akbar allah yakara daukaka addinin musulinci da musulmai	positive
@user Kema Kifidda Kudi Ajikinki Kibayar Saboda Allah......Bawai Bude Gurin Karuwancin Dakikayi A Kaduna Ba Wai Wajen Cin Abinci hmmmm Ana Hege A Kasar Na...😴	negative
ya kamata tun farko a rinka bin dokoki na bude makarantaamma saboda sakaci na gwamnatida wayanda abun ya shafa se a kyale mutum ya bude ya yada abunda ze zama masifa ga al imma	negative
@user .ma matukar yinki Wallahi. Ina yinki 😍 https://t.co/VFLJyYQCkM	positive
@user Subhanallah allah kakawumana wanan balai in dai wai su suki africa ta kari ne ni indo 😭 😭 😭	positive
@user Kuma ba barawo dollars bane😀	positive
@user @user @user @user Zamusha kallo Allah yanuna mn lokacin Rahma gsky kundace sai kace ma'auratan gaske🙊	positive
@user Miliyan hamsin wuuuuuuuu🙊 sai bayan kwana biyu	neutral
@user Yan nigeria sun fusata🤔🤔	negative
"Lmao @user sansana 😂😂 @user: KARIN MAGANARMU NA YAU: """"""""""""""""""""""""""""""""Idan kamshi ya kai kamshi ba sai an sansana ba"""""""""""""""""""""""""""""""". Daga Sabi'u Takai.”"	neutral
@user @user Allah yakai rahama kabarinsa Amin 🙏	positive
@user Munji wannan tun kafin ya hau mulki yake cewa haka😎	neutral
allah yasa hakane mafi alkhayry kuma allah ya karbi ibadun mu allah ya maimaita mana ramadan da yawa cikin koshin lafia	positive
@user 'Yan duniya knan, ay dama mun san ba al'umma ce a gabanku ba duniya ce da kuma Dollars 🤔🤔	negative
@user @user Uhmm Wannan ai shashanci ne😁	negative
@user Allah yasa hakan ya xamo Alkhairi ga alummar da Za'a mulka🙏	positive
@user @user Toooo!! Ya gaishe su 🤷🏽	positive
@user Na shuke bishiyoyi milyan 26 a😬😬😬kai wannan tsoho ya cuve ni da shekarun sa sun fi na babana amma wallahi da sai na babbanka mishi🤐🤐🤐	negative
allah raka taki gona idanma dahali yatsaya cen munafe	negative
@user Wannan da buhari kuma kuke a fakaice 😂	negative
@user Da mah shugaban kasansu aka harba 🙄	negative
@user @user Baba kenan to mudai muna water🤣🤣	negative
@user Kawai kuce zaku figures na karya. Dama cen mu bamusan wasu masu corona ba. 🤔	negative
@user Allah ya Isa data ta🤦‍♂️	negative
@user @user Sai Mai gaskiya,Nice work prince 👍👍	positive
@user Shi yasani can mu bama so😂	neutral
@user Tuwo mai jiki duk tsoka🤣🤣🤣	neutral
@user @user Babban darekta ..ta kai ma😀	positive
momma nd abbiey️️allah yakara su lfy da nisan kwana	positive
@user Kana Burgeni Ndume😅😅😅 Sbd Sakin Magana🤔	positive
@user Wannan ai dan wiiwii ne✌	negative
@user Allah yasa zamanmu a Nigeria kaffarane amen 😂🤦	positive
